,Score,Metric
168,0.9066666666666666,Precision
169,0.9,Precision
170,0.9133333333333333,Precision
171,0.9047619047619048,Precision
172,0.9060402684563759,Precision
173,0.9019607843137255,Precision
174,0.9,Precision
175,0.9019607843137255,Precision
176,0.9041095890410958,Precision
177,0.9054054054054054,Precision
178,0.891156462585034,Precision
179,0.9115646258503401,Precision
180,0.8940397350993378,Precision
181,0.9072847682119205,Precision
182,0.9054054054054054,Precision
183,0.8896103896103896,Precision
184,0.8947368421052632,Precision
185,0.9133333333333333,Precision
186,0.8947368421052632,Precision
187,0.9006622516556292,Precision
188,0.9006622516556292,Precision
189,0.9047619047619048,Precision
190,0.9066666666666666,Precision
191,0.9178082191780822,Precision
192,0.918918918918919,Precision
193,0.9,Precision
194,0.8866666666666667,Precision
195,0.9,Precision
