,Score,Metric
169,0.8860759493670886,Precision
170,0.8860759493670886,Precision
171,0.8974358974358975,Precision
172,0.8987341772151899,Precision
173,0.8980891719745223,Precision
174,0.9013157894736842,Precision
175,0.9019607843137255,Precision
176,0.896774193548387,Precision
177,0.8987341772151899,Precision
178,0.8924050632911392,Precision
179,0.8974358974358975,Precision
180,0.8853503184713376,Precision
181,0.8860759493670886,Precision
182,0.8867924528301887,Precision
183,0.8974358974358975,Precision
184,0.896774193548387,Precision
185,0.88125,Precision
186,0.88125,Precision
187,0.8867924528301887,Precision
188,0.8974358974358975,Precision
189,0.8980891719745223,Precision
190,0.8846153846153846,Precision
191,0.8961038961038961,Precision
192,0.8974358974358975,Precision
193,0.8867924528301887,Precision
194,0.8924050632911392,Precision
195,0.8924050632911392,Precision
