,Score,Metric
166,0.8551724137931035,Precision
167,0.8345323741007195,Precision
168,0.84,Precision
169,0.8141025641025641,Precision
170,0.802547770700637,Precision
171,0.8175182481751825,Precision
172,0.8541666666666666,Precision
173,0.8269230769230769,Precision
174,0.8193548387096774,Precision
175,0.8266666666666667,Precision
176,0.8301886792452831,Precision
177,0.8424657534246576,Precision
178,0.8723404255319149,Precision
179,0.8108108108108109,Precision
180,0.8145695364238411,Precision
181,0.8181818181818182,Precision
182,0.8129032258064516,Precision
183,0.855072463768116,Precision
184,0.8428571428571429,Precision
185,0.8482758620689655,Precision
186,0.8136645962732919,Precision
187,0.85,Precision
188,0.8581081081081081,Precision
189,0.8705035971223022,Precision
190,0.8263888888888888,Precision
191,0.8280254777070064,Precision
192,0.8145695364238411,Precision
193,0.8050314465408805,Precision
